movieId,movieLink,movieName,movieImage,movieEpisodeTotal,movieEpisodeCurrent
1,https://animehay.pro/thong-tin-phim/gochuumon-wa-usagi-desu-ka-ss2-1.html,Gochuumon Wa Usagi Desu Ka [SS2],https://animehay.pro/upload/poster/1.jpg,12,12
2,https://animehay.pro/thong-tin-phim/one-punch-man-2.html,One Punch Man,https://animehay.pro/upload/poster/2.jpg,12,12
3,https://animehay.pro/thong-tin-phim/dragon-ball-super-3.html,Dragon Ball Super,https://animehay.pro/upload/poster/3.jpg,131,131
4,https://animehay.pro/thong-tin-phim/gakusen-toshi-asterisk-4.html,Gakusen Toshi Asterisk,https://animehay.pro/upload/poster/4.jpg,12,12
5,https://animehay.pro/thong-tin-phim/shinmai-maou-no-testament-5.html,Shinmai Maou no Testament,https://animehay.pro/upload/poster/5.jpg,12,12
6,https://animehay.pro/thong-tin-phim/than-vo-gia-cu-ss2-6.html,Thần Vô Gia Cư SS2,https://animehay.pro/upload/poster/6.jpg,13,13
7,https://animehay.pro/thong-tin-phim/su-thi-ve-mot-hiep-si-luu-ban-7.html,Sử Thi Về Một Hiệp Sĩ Lưu Ban,https://animehay.pro/upload/poster/7.jpg,12,12
8,https://animehay.pro/thong-tin-phim/ushio-to-tora-8.html,Ushio to Tora,https://animehay.pro/upload/poster/8.jpg,26,26
9,https://animehay.pro/thong-tin-phim/owari-no-seraph-ss2-9.html,Owari no Seraph SS2,https://animehay.pro/upload/poster/9.jpg,12,12
10,https://animehay.pro/thong-tin-phim/gintama-2015-10.html,Gintama - 2015,https://animehay.pro/upload/poster/10.jpg,51,51
11,https://animehay.pro/thong-tin-phim/young-black-jack-11.html,Young Black Jack,https://animehay.pro/upload/poster/11.jpg,12,12
12,https://animehay.pro/thong-tin-phim/ginga-kikoutai-majestic-prince-12.html,Ginga Kikoutai Majestic Prince,https://animehay.pro/upload/poster/12.jpg,24,24
13,https://animehay.pro/thong-tin-phim/grappler-baki-13.html,Grappler Baki,https://animehay.pro/upload/poster/13.jpg,48,48
14,https://animehay.pro/thong-tin-phim/overlord-14.html,Overlord,https://animehay.pro/upload/poster/14.jpg,13,13
15,https://animehay.pro/thong-tin-phim/majin-tantei-nougami-neuro-15.html,Majin Tantei Nougami Neuro,https://animehay.pro/upload/poster/15.jpg,25,25
16,https://animehay.pro/thong-tin-phim/tokyo-ghoul-16.html,Tokyo Ghoul,https://animehay.pro/upload/poster/16.jpg,12,12
17,https://animehay.pro/thong-tin-phim/tokyo-ghoul-ss2-17.html,Tokyo Ghoul SS2,https://animehay.pro/upload/poster/17.jpg,12,12
18,https://animehay.pro/thong-tin-phim/ore-ga-ojousama-gakkou-ni-shomin-sample-toshite-gets-sareta-ken-18.html,Ore ga Ojousama Gakkou ni _Shomin Sample_ Toshite Gets♥Sareta Ken,https://animehay.pro/upload/poster/18.jpg,12,12
19,https://animehay.pro/thong-tin-phim/strike-the-blood-19.html,Strike The Blood,https://animehay.pro/upload/poster/19.jpg,24,24
20,https://animehay.pro/thong-tin-phim/turbo-2013-20.html,Turbo 2013,https://animehay.pro/upload/poster/20.jpg,,95 phút
21,https://animehay.pro/thong-tin-phim/gravity-falls-ss2-21.html,Gravity Falls ss2,https://animehay.pro/upload/poster/21.jpg,??,??
22,https://animehay.pro/thong-tin-phim/one-punch-man-road-to-hero-ova-22.html,One Punch Man: Road to Hero OVA,https://animehay.pro/upload/poster/22.jpg,,24 phút
23,https://animehay.pro/thong-tin-phim/dog-days-ss1-23.html,Dog Days SS1,https://animehay.pro/upload/poster/23.jpg,13,13
24,https://animehay.pro/thong-tin-phim/golden-time-24.html,Golden Time,https://animehay.pro/upload/poster/24.jpg,24,24
25,https://animehay.pro/thong-tin-phim/diabolik-lovers-ss2-25.html,Diabolik lovers SS2,https://animehay.pro/upload/poster/25.jpg,12,12
26,https://animehay.pro/thong-tin-phim/charlotte-26.html,Charlotte,https://animehay.pro/upload/poster/26.jpg,13,OVA
27,https://animehay.pro/thong-tin-phim/trinity-seven-27.html,Trinity Seven,https://animehay.pro/upload/poster/27.jpg,12,12
28,https://animehay.pro/thong-tin-phim/magi-the-labyrinth-of-magic-28.html,Magi: The Labyrinth of Magic,https://animehay.pro/upload/poster/28.jpg,25,25
29,https://animehay.pro/thong-tin-phim/ngoi-nha-phep-thuat-29.html,Ngôi Nhà Phép Thuật,https://animehay.pro/upload/poster/29.jpg,,85 phút
30,https://animehay.pro/thong-tin-phim/valkyrie-drive-mermaid-30.html,Valkyrie Drive: Mermaid,https://animehay.pro/upload/poster/30.jpg,12,12
31,https://animehay.pro/thong-tin-phim/high-school-dxd-31.html,High School Dxd,https://animehay.pro/upload/poster/31.jpg,12,12
32,https://animehay.pro/thong-tin-phim/high-school-dxd-ova-32.html,High School Dxd Ova,https://animehay.pro/upload/poster/32.jpg,2,2
33,https://animehay.pro/thong-tin-phim/7-ghost-33.html,7 Ghost,https://animehay.pro/upload/poster/33.jpg,25,25
34,https://animehay.pro/thong-tin-phim/one-piece-dao-hai-tac-34.html,One Piece,https://animehay.pro/upload/poster/34.jpg,??,1051
35,https://animehay.pro/thong-tin-phim/sword-art-online-35.html,Sword Art Online,https://animehay.pro/upload/poster/35.jpg,25,25
36,https://animehay.pro/thong-tin-phim/little-busters-36.html,Little Busters,https://animehay.pro/upload/poster/36.jpg,26,26
37,https://animehay.pro/thong-tin-phim/gosick-37.html,Gosick,https://animehay.pro/upload/poster/37.jpg,24,24
38,https://animehay.pro/thong-tin-phim/maji-de-watashi-ni-koi-shinasai-uncensor-38.html,Maji De Watashi Ni Koi Shinasai!! Uncensor,https://animehay.pro/upload/poster/38.jpg,12,12
39,https://animehay.pro/thong-tin-phim/ryuugajou-nanana-no-maizoukin-tv-39.html,Ryuugajou Nanana No Maizoukin (TV),https://animehay.pro/upload/poster/39.jpg,11,11
40,https://animehay.pro/thong-tin-phim/tokimeki-memorial-40.html,Tokimeki Memorial,https://animehay.pro/upload/poster/40.jpg,26,26
41,https://animehay.pro/thong-tin-phim/lop-hoc-am-sat-phan-2-41.html,Lớp Học Ám Sát Phần 2,https://animehay.pro/upload/poster/41.jpg,25,25
42,https://animehay.pro/thong-tin-phim/musaigen-no-phantom-world-42.html,Musaigen no Phantom World,https://animehay.pro/upload/poster/42.jpg,13 + OVA,13
