movieId,movieLink,movieName,movieImage,movieEpisodeTotal,movieEpisodeCurrent
1,https://phimmoichilla.net/info/cuoc-dam-phan-sinh-tu-pm1,Cuộc Đàm Phán Sinh Tử,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201811208.jpg,1,HD VietSub
2,https://phimmoichilla.net/info/alpha-nguoi-thu-linh-pm2,Alpha: Người Thủ Lĩnh,https://i0.wp.com/img.phimmoichilla.net/images/film/nguoi-thu-linh-2-201709238.jpg,1,HD VietSub + Thuyết Minh
3,https://phimmoichilla.net/info/quai-thu-vo-hinh-pm3,Quái Thú Vô Hình,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810560.jpg,1,HD VietSub + Thuyết Minh
4,https://phimmoichilla.net/info/quy-nhap-hon-pm4,Quỷ Nhập Hồn,https://i0.wp.com/img.phimmoichilla.net/images/film/poster-201811631.jpg,1,HD VietSub
5,https://phimmoichilla.net/info/loi-nhan-cua-oan-hon-pm5,Lời Nhắn Của Oan Hồn,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810525.jpg,1,HD VietSub
6,https://phimmoichilla.net/info/dai-chien-thanh-ansi-pm6,Đại Chiến Thành Ansi,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810981.jpg,1,HD VietSub
7,https://phimmoichilla.net/info/chien-tranh-lanh-pm7,Chiến Tranh Lạnh,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201811991.jpg,1,HD VietSub
8,https://phimmoichilla.net/info/duong-dua-tu-than-4-pm8,Đường Đua Tử Thần 4,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810814.jpg,1,HD VietSub
9,https://phimmoichilla.net/info/huynh-de-hoang-kim-pm9,Huynh Đệ Hoàng Kim,https://i0.wp.com/img.phimmoichilla.net/images/film/img20180829175704-201811148.jpg,1,HD VietSub + Thuyết Minh
10,https://phimmoichilla.net/info/nhiem-vu-bat-kha-thi-sup-do-pm10,Nhiệm Vụ Bất Khả Thi: Sụp Đổ,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201807540.jpg,1,HD VietSub + Thuyết Minh
11,https://phimmoichilla.net/info/an-than-pm11,Ẩn Thân,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bmje3oti1mtu0ov5bml5banbnxkftztgwntg1mzkzntm-201811882.v1sy1000cr006741000al,1,HD VietSub
12,https://phimmoichilla.net/info/chung-cu-tinh-yeu-pm12,Chung Cư Tình Yêu,https://i0.wp.com/img.phimmoichilla.net/images/film/1-201811429.jpg,1,HD Thuyết Minh
13,https://phimmoichilla.net/info/con-nha-sieu-giau-chau-a-pm13,Con Nhà Siêu Giàu Châu Á,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810911.jpg,1,HD VietSub + Thuyết Minh
14,https://phimmoichilla.net/info/ca-map-sieu-bao-chua-pm14,Cá Mập Siêu Bạo Chúa,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201807495.jpg,1,HD VietSub + Thuyết Minh
15,https://phimmoichilla.net/info/tran-bong-kinh-hoang-pm15,Trận Bóng Kinh Hoàng,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201809277.jpg,1,HD VietSub
16,https://phimmoichilla.net/info/ong-trum-phia-sau-pm16,Ông Trùm Phía Sau,https://i0.wp.com/img.phimmoichilla.net/images/film/images-201808718.jpg,1,HD VietSub - Thuyết Minh
17,https://phimmoichilla.net/info/ngay-em-dep-nhat-pm17,Ngày Em Đẹp Nhất,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810211.jpg,1,HD VietSub
18,https://phimmoichilla.net/info/thien-ac-doi-dau-2-pm18,Thiện Ác Đối Đầu 2,https://i0.wp.com/img.phimmoichilla.net/images/film/thien-ac-doi-dau-2-201808527.jpg,1,HD VietSub + Thuyết Minh
19,https://phimmoichilla.net/info/gia-dinh-sieu-nhan-2-pm19,Gia Đình Siêu Nhân 2,https://i0.wp.com/img.phimmoichilla.net/images/film/gia-dinh-sieu-nhan-2-201806186.jpg,1,HD VietSub + Thuyết Minh
20,https://phimmoichilla.net/info/christopher-robin-pm20,Christopher Robin,https://i0.wp.com/img.phimmoichilla.net/images/film/22222-201811806.jpg,1,HD VietSub
21,https://phimmoichilla.net/info/chuyen-di-cua-cuoc-doi-pm21,Chuyến Đi Của Cuộc Đời,https://i0.wp.com/img.phimmoichilla.net/images/film/poster-201811312.jpg,1,HD VietSub
22,https://phimmoichilla.net/info/nguoi-linh-vo-danh-pm22,Người Lính Vô Danh,https://i0.wp.com/img.phimmoichilla.net/images/film/poster-201811273.jpg,1,HD VietSub
23,https://phimmoichilla.net/info/no-le-cua-quy-pm23,Nô Lệ Của Quỷ,https://i0.wp.com/img.phimmoichilla.net/images/film/poster-201811961.jpg,1,HD VietSub
24,https://phimmoichilla.net/info/ac-quy-ma-so-pm24,Ác Quỷ Ma Sơ,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bmjewmde1nzi3m15bml5banbnxkftztgwnjg2njexnjm-201810894.v1,1,HD VietSub + Thuyết Minh
25,https://phimmoichilla.net/info/venom-pm25,Venom,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810691.jpg,1,HD VietSub
26,https://phimmoichilla.net/info/ban-ma-phien-toai-pm26,Bạn Ma Phiền Toái,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201811827.jpg,1,HD VietSub
27,https://phimmoichilla.net/info/vu-dieu-ma-thuat-pm27,Vũ Điệu Ma Thuật,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201811534.jpg,1,HD Thuyết Minh
28,https://phimmoichilla.net/info/thu-thach-than-chet-2-49-ngay-cuoi-cung-pm28,Thử Thách Thần Chết 2: 49 Ngày Cuối Cùng,https://i0.wp.com/img.phimmoichilla.net/images/film/389354222621297710941201859590542745141248n-201809414.jpg,1,HD VietSub - Thuyết Minh
29,https://phimmoichilla.net/info/maquia-cho-ngay-loi-hua-no-hoa-pm29,Maquia: Chờ Ngày Lời Hứa Nở Hoa,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201811449.jpg,1,HD VietSub
30,https://phimmoichilla.net/info/man-suong-chet-pm30,Màn Sương Chết,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201807163.jpg,1,HD VietSub
31,https://phimmoichilla.net/info/nhung-cau-chuyen-ben-song-pm31,Những Câu Chuyện Bên Sông,https://i0.wp.com/img.phimmoichilla.net/images/film/xe22of-201811399.jpg,1,HD VietSub
32,https://phimmoichilla.net/info/thien-ha-de-nhat-tieu-cuc-pm32,Thiên Hạ Đệ Nhất Tiêu Cục,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201811797.jpg,1,HD Thuyết Minh
33,https://phimmoichilla.net/info/moc-22-pm33,Mốc 22,https://i0.wp.com/img.phimmoichilla.net/images/film/1-201810245.jpg,1,HD Thuyết Minh
34,https://phimmoichilla.net/info/tro-choi-giai-ma-pm34,Trò Chơi Giải Mã,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bognhytg1mzktmtkyyy00otewltkzntytywu3ytbhntm0zmfjxkeyxkfqcgdeqxvynja2otcwnze-201810674.v1sy1000cr007141000al,1,HD Thuyết Minh
35,https://phimmoichilla.net/info/ban-trai-cu-toi-la-diep-vien-pm35,Bạn Trai Cũ Tôi Là Điệp Viên,https://i0.wp.com/img.phimmoichilla.net/images/film/1-201810900.jpg,1,HD VietSub
36,https://phimmoichilla.net/info/biet-doi-thu-cung-pm36,Biệt Đội Thú Cưng,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bzddjowmwnjytnwe3zi00y2jjltgzoditntg1yjnjm2u3zwmyxkeyxkfqcgdeqxvymjm4ntm5ndy-201810844.v1sy1000sx675al,1,HD VietSub
37,https://phimmoichilla.net/info/bao-thai-quy-pm37,Bào Thai Quỷ,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810821.jpg,1,HD VietSub
38,https://phimmoichilla.net/info/a-x-l-chu-cho-robot-pm38,A-X-L Chú Chó Robot,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810321.jpg,1,HD VietSub + Thuyết Minh
39,https://phimmoichilla.net/info/johnny-english-tai-xuat-giang-ho-pm39,Johnny English: Tái Xuất Giang Hồ,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201807529.jpg,1,Cam VietSub
40,https://phimmoichilla.net/info/ga-khong-mat-pm40,Gã Không Mặt,https://i0.wp.com/img.phimmoichilla.net/images/film/1-201810952.jpg,1,HD VietSub + Thuyết Minh
41,https://phimmoichilla.net/info/vu-dieu-tinh-yeu-pm41,Vũ Điệu Tình Yêu,https://i0.wp.com/img.phimmoichilla.net/images/film/20170808103348631-201810420.jpg,1,HD Thuyết Minh
42,https://phimmoichilla.net/info/thon-co-son-pm42,Thôn Cổ Sơn,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bmwy3njk4mzktyza0ns00nty1lwfhodgtm2i4zgfjode3mjiwxkeyxkfqcgdeqxvyotixnzu3mzy-201810557.v1,1,HD VietSub
43,https://phimmoichilla.net/info/sa-hai-ngoai-truyen-2-hoa-moi-pm43,Sa Hải Ngoại Truyện 2: Họa Mối,https://i0.wp.com/img.phimmoichilla.net/images/film/201809181537245035-201810893.jpg,1,HD VietSub
44,https://phimmoichilla.net/info/nhin-cho-khac-pm44,Nhìn Chỗ Khác,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bmtezoty0mdi3mtdeqtjeqwpwz15bbwu4mdk5ndayndyz-201810976.v1sy1000cr006751000al,1,HD VietSub
45,https://phimmoichilla.net/info/ke-bat-chuoc-pm45,Kẻ Bắt Chước,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bzdcwzdzimtmtymzlmi00odbhltlmmzetogjkyte5mdjkogixxkeyxkfqcgdeqxvyndcymjq4mzu-201810762.v1sx701cr00701999al,1,HD VietSub
46,https://phimmoichilla.net/info/tim-kiem-pm46,Tìm Kiếm,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bmjiwota3ndi3mf5bml5banbnxkftztgwnzizmza5ntm-201810881.v1sy1000cr006741000al,1,HD VietSub
47,https://phimmoichilla.net/info/bat-kha-xam-pham-pm47,Bất Khả Xâm Phạm,https://i0.wp.com/img.phimmoichilla.net/images/film/dvwpeckumaeei5m-201810132.jpg,1,HD VietSub
48,https://phimmoichilla.net/info/sa-hai-ngoai-truyen-benh-nhan-pm48,Sa Hải Ngoại Truyện: Bệnh Nhân,https://i0.wp.com/img.phimmoichilla.net/images/film/fff-201810724.jpg,1,HD VietSub
49,https://phimmoichilla.net/info/man-dem-keo-den-pm49,Màn Đêm Kéo Đến,https://i0.wp.com/img.phimmoichilla.net/images/film/ssss-201810639.jpg,1,HD VietSub + Thuyết Minh
50,https://phimmoichilla.net/info/cuoc-goi-bac-ty-pm50,Cuộc Gọi Bạc Tỷ,https://i0.wp.com/img.phimmoichilla.net/images/film/the-big-call-1-201801778.jpg,1,HD Thuyết Minh
51,https://phimmoichilla.net/info/bi-mat-phu-nhan-thi-truong-pm51,Bí Mật Phu Nhân Thị Trưởng,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810910.jpg,1,HD Thuyết Minh
52,https://phimmoichilla.net/info/ngoi-nha-co-chiec-dong-ho-ma-thuat-pm52,Ngôi Nhà Có Chiếc Đồng Hồ Ma Thuật,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810444.jpg,1,Cam VietSub
53,https://phimmoichilla.net/info/mat-ngot-pm53,Mật Ngọt,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810870.jpg,1,HD VietSub
54,https://phimmoichilla.net/info/mary-va-doa-hoa-phu-thuy-pm54,Mary Và Đoá Hoa Phù Thuỷ,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201808115.jpg,1,HD VietSub + Thuyết Minh
55,https://phimmoichilla.net/info/biet-doi-bien-xanh-pm55,Biệt Đội Biển Xanh,https://i0.wp.com/img.phimmoichilla.net/images/film/deep-201705585.jpg,1,HD VietSub
56,https://phimmoichilla.net/info/lu-doan-soi-pm56,Lữ Đoàn Sói,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810398.jpg,1,HD VietSub + Thuyết Minh
57,https://phimmoichilla.net/info/charming-hoang-tu-hao-hoa-pm57,Charming: Hoàng Tử Hào Hoa,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810371.jpg,1,HD Lồng Tiếng
58,https://phimmoichilla.net/info/chien-binh-bat-dac-di-pm58,Chiến Binh Bất Đắc Dĩ,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810642.jpg,1,HD Thuyết Minh
59,https://phimmoichilla.net/info/mat-na-quy-du-pm59,Mặt Nạ Quỷ Dữ,https://i0.wp.com/img.phimmoichilla.net/images/film/ddds-201810901.jpg,1,HD VietSub
60,https://phimmoichilla.net/info/1987-ngay-dinh-menh-pm60,1987: Ngày Định Mệnh,https://i0.wp.com/img.phimmoichilla.net/images/film/p14992107vv8aa-201810993.jpg,1,HD VietSub
61,https://phimmoichilla.net/info/sat-thu-nhan-tao-pm61,Sát Thủ Nhân Tạo,https://i0.wp.com/img.phimmoichilla.net/images/info/the-witch-part-1-the-subversion.jpg,1,HD VietSub Thuyết Minh
62,https://phimmoichilla.net/info/giai-cuu-nguoi-dep-2-pm62,Giải Cứu Người Đẹp 2,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201809737.jpg,1,HD VietSub + Thuyết Minh
63,https://phimmoichilla.net/info/dich-nhan-kiet-tu-dai-thien-vuong-pm63,Đich Nhân Kiệt: Tứ Đại Thiên Vương,https://i0.wp.com/img.phimmoichilla.net/images/film/poster-201810287.jpg,1,HD VietSub + Thuyết Minh
64,https://phimmoichilla.net/info/khach-san-toi-pham-pm64,Khách Sạn Tội Phạm,https://i0.wp.com/img.phimmoichilla.net/images/film/hotelartemis-201806589.jpg,1,HD VietSub + Thuyết Minh
65,https://phimmoichilla.net/info/phim-rieng-ve-nhom-teen-titans-pm65,Phim Riêng Về Nhóm Teen Titans,https://i0.wp.com/img.phimmoichilla.net/images/film/1-201810631.jpg,1,HD VietSub
66,https://phimmoichilla.net/info/phan-chan-pm66,Phấn Chấn,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810359.jpg,1,HD VietSub
67,https://phimmoichilla.net/info/dai-su-huynh-pm67,Đại Sư Huynh,https://i0.wp.com/img.phimmoichilla.net/images/film/dai-su-huynh-201808130.jpg,1,HD VietSub - Thuyết Minh
68,https://phimmoichilla.net/info/quy-du-biet-yeu-pm68,Quỷ Dữ Biết Yêu,https://i0.wp.com/img.phimmoichilla.net/images/film/1-201810156.jpg,1,HD VietSub
69,https://phimmoichilla.net/info/huy-ket-ban-2-web-ngam-pm69,Hủy Kết Bạn 2: Web Ngầm,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810325.jpg,1,HD VietSub
70,https://phimmoichilla.net/info/thoi-khac-tan-the-pm70,Thời Khắc Tận Thế,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bmjmwotg0mzu4mv5bml5banbnxkftztgwodk2njy3ntm-201808170.v1sy1000cr006741000al,1,HD VietSub + Thuyết Minh
71,https://phimmoichilla.net/info/truoc-ngay-huy-diet-nhan-loai-pm71,Trước Ngày Hủy Diệt Nhân Loại,https://i0.wp.com/img.phimmoichilla.net/images/film/dwox8livoaazzvi-201810667.jpg,1,HD VietSub
